 shot  ray#     dist   amplitude     phase  code
   -1   26    25.506   0.907E-02      0.00   4.2
   -1   27    25.792   0.965E-02      0.00   4.2
   -1   28    26.080   0.104E-01      0.00   4.2
   -1   29    26.371   0.111E-01      0.00   4.2
   -1   30    26.666   0.118E-01      0.00   4.2
   -1   31    26.965   0.124E-01      0.00   4.2
   -1   32    27.268   0.130E-01      0.00   4.2
   -1   33    27.604   0.134E-01      0.00   4.2
   -1   34    27.868   0.135E-01      0.00   4.2
   -1   35    28.224   0.133E-01      0.00   4.2
   -1    1    16.413   0.486E-03      0.00   5.1
   -1    2    16.362   0.490E-03      0.00   5.1
   -1    3    16.203   0.498E-03      0.00   5.1
   -1    4    15.943   0.508E-03      0.00   5.1
   -1    5    15.590   0.518E-03      0.00   5.1
   -1    6    15.210   0.527E-03      0.00   5.1
   -1    7    14.756   0.533E-03      0.00   5.1
   -1    8    14.217   0.535E-03      0.00   5.1
   -1    9    13.495   0.533E-03      0.00   5.1
   -1   10    12.750   0.528E-03      0.00   5.1
   -1   11    11.855   0.520E-03      0.00   5.1
   -1   12    10.763   0.511E-03      0.00   5.1
   -1   13     9.396   0.501E-03      0.00   5.1
   -1   14     7.838   0.492E-03      0.00   5.1
   -1   15     6.570   0.484E-03      0.00   5.1
   -1   16     5.047   0.478E-03      0.00   5.1
   -1   17     3.198   0.474E-03      0.00   5.1
   -1   18     0.899   0.472E-03      0.00   5.1
   -1    6     2.585   0.578E-02    121.14   5.2
   -1    7     5.678   0.623E-02    105.08   5.2
   -1    8     8.150   0.681E-02     84.58   5.2
   -1    9    10.221   0.660E-02     54.48   5.2
   -1   10    11.927   0.513E-02      0.00   5.2
   -1   11    13.371   0.341E-02      0.00   5.2
   -1   12    14.766   0.233E-02      0.00   5.2
   -1   13    15.909   0.177E-02      0.00   5.2
   -1   14    16.949   0.143E-02      0.00   5.2
   -1   15    17.869   0.122E-02      0.00   5.2
   -1   16    18.745   0.109E-02      0.00   5.2
   -1   17    19.551   0.104E-02      0.00   5.2
   -1   18    20.278   0.104E-02      0.00   5.2
   -1   19    21.006   0.109E-02      0.00   5.2
   -1   20    21.703   0.119E-02      0.00   5.2
   -1   21    22.373   0.133E-02      0.00   5.2
