
dc between calculated and observed response: -421.141 mgal


 distance    obs   calc grav anom  diff
    -5.085    11.666     9.218    -2.448
    -4.087    11.809     9.086    -2.723
    -3.088    11.873     8.954    -2.920
    -2.089    11.752     8.819    -2.933
    -1.090    11.551     8.683    -2.868
    -0.092    11.136     8.547    -2.589
     0.907    10.648     8.412    -2.236
     1.906     9.945     8.253    -1.692
     2.905     9.192     8.091    -1.101
     3.903     8.188     7.930    -0.258
     4.902     7.174     7.768     0.594
     5.901     6.260     7.573     1.312
     6.900     5.350     7.373     2.023
     7.899     4.626     7.174     2.548
     8.897     3.927     6.975     3.048
     9.896     3.467     6.739     3.272
    10.895     3.067     6.499     3.432
    11.894     2.886     6.259     3.373
    12.892     2.790     6.019     3.229
    13.891     2.869     5.739     2.870
    14.890     3.026     5.455     2.429
    15.889     3.312     5.171     1.859
    16.888     3.666     4.887     1.222
    17.886     4.069     4.555     0.486
    18.885     4.503     4.217    -0.286
    19.884     4.880     3.878    -1.002
    20.883     5.139     3.540    -1.600
    21.881     5.192     3.150    -2.041
    22.880     5.072     2.754    -2.318
    23.879     4.821     2.358    -2.463
    24.878     4.424     1.962    -2.462
    25.877     3.936     1.512    -2.424
    26.875     3.319     1.055    -2.265
    27.874     2.650     0.597    -2.053
    28.873     1.864     0.140    -1.724
    29.867     1.033    -0.340    -1.373
    30.861     0.154    -0.823    -0.978
    31.856    -0.725    -1.307    -0.581
    32.850    -1.616    -1.790    -0.174
    33.844    -2.483    -2.250     0.233
    34.839    -3.264    -2.706     0.557
    35.833    -4.011    -3.162     0.849
    36.827    -4.617    -3.618     0.999
    37.821    -5.196    -4.022     1.175
    38.816    -5.554    -4.415     1.140
    39.810    -5.879    -4.807     1.072
    40.804    -6.014    -5.200     0.814
    41.798    -6.142    -5.528     0.614
    42.793    -6.148    -5.839     0.309
    43.787    -6.152    -6.151     0.001
    44.781    -6.114    -6.463    -0.349
    45.776    -6.075    -6.720    -0.645
    46.770    -6.067    -6.962    -0.895
    47.764    -6.061    -7.203    -1.143
    48.758    -6.127    -7.445    -1.318
    49.753    -6.205    -7.637    -1.433
    50.747    -6.370    -7.813    -1.443
    51.741    -6.553    -7.989    -1.436
    52.735    -6.780    -8.165    -1.386
    53.730    -7.017    -8.291    -1.274
    54.724    -7.272    -8.399    -1.127
    55.718    -7.530    -8.507    -0.977
    56.713    -7.775    -8.614    -0.839
    57.707    -8.012    -8.688    -0.676
    58.701    -8.211    -8.748    -0.538
    59.695    -8.389    -8.809    -0.420
    60.690    -8.522    -8.869    -0.347
    61.684    -8.617    -8.882    -0.264
    62.678    -8.679    -8.873    -0.194
    63.672    -8.716    -8.865    -0.149
    64.667    -8.737    -8.856    -0.119
    65.661    -8.745    -8.771    -0.026
    66.655    -8.754    -8.648     0.106
    67.650    -8.767    -8.524     0.243
    68.644    -8.792    -8.401     0.391
    69.638    -8.834    -8.195     0.639
    70.632    -8.879    -7.944     0.935
    71.627    -8.924    -7.692     1.232
    72.621    -8.932    -7.441     1.492
    73.615    -8.887    -7.138     1.748
    74.609    -8.781    -6.804     1.977
    75.604    -8.534    -6.470     2.063
    76.598    -8.198    -6.136     2.062
    77.592    -7.601    -5.804     1.797
    78.587    -6.908    -5.472     1.436
    79.581    -5.874    -5.140     0.734
    80.575    -4.759    -4.808    -0.050
    81.569    -3.254    -4.511    -1.256
    82.564    -1.690    -4.239    -2.548
    83.558     0.065    -3.967    -4.032
    84.552     1.847    -3.695    -5.541
    85.546     3.706    -3.478    -7.184
    86.541     5.549    -3.306    -8.855
    87.535     7.029    -3.135   -10.164
    88.529     8.487    -2.964   -11.451
    89.524     9.298    -2.860   -12.158
    90.518    10.042    -2.819   -12.860
    91.512    10.022    -2.777   -12.799
    92.506     9.868    -2.735   -12.603
    93.501     9.014    -2.736   -11.750
    94.495     7.948    -2.779   -10.727
    95.489     6.360    -2.822    -9.182
    96.483     4.619    -2.865    -7.484
    97.478     2.685    -2.937    -5.622
    98.472     0.647    -3.040    -3.688
    99.466    -1.359    -3.144    -1.785
   100.461    -3.345    -3.247     0.098
   101.455    -5.062    -3.373     1.689
   102.449    -6.643    -3.525     3.118
   103.443    -7.745    -3.678     4.067
   104.438    -8.537    -3.830     4.707
   105.432    -8.808    -3.975     4.834
   106.426    -8.727    -4.110     4.617
   107.420    -8.312    -4.245     4.068
   108.415    -7.607    -4.380     3.227
   109.409    -6.681    -4.505     2.175
   110.403    -5.532    -4.617     0.916
   111.398    -4.306    -4.728    -0.422
   112.392    -2.997    -4.840    -1.843
   113.386    -1.730    -4.945    -3.214
   114.380    -0.559    -5.039    -4.480
   115.375     0.488    -5.134    -5.622
   116.369     1.268    -5.228    -6.496
   117.363     1.834    -5.325    -7.159
   118.357     1.981    -5.427    -7.407
   119.352     1.982    -5.528    -7.511
   120.346     1.608    -5.630    -7.238
   121.340     1.160    -5.738    -6.898
   122.335     0.499    -5.860    -6.359
   123.329    -0.174    -5.982    -5.808
   124.323    -0.908    -6.104    -5.196
   125.317    -1.618    -6.249    -4.631
   126.312    -2.231    -6.442    -4.212
   127.306    -2.812    -6.636    -3.824
   128.300    -3.222    -6.830    -3.607
   129.294    -3.599    -7.082    -3.483
   130.289    -3.866    -7.474    -3.608
   131.283    -4.100    -7.866    -3.766
   132.277    -4.330    -8.259    -3.928
   133.272    -4.530    -8.701    -4.171
   134.266    -4.841    -9.278    -4.437
   135.260    -5.132    -9.855    -4.723
   136.254    -5.606   -10.432    -4.826
   137.249    -6.080   -11.020    -4.940
   138.243    -6.745   -11.641    -4.895
   139.237    -7.424   -12.261    -4.837
   140.231    -8.232   -12.882    -4.650
   141.226    -9.058   -13.489    -4.431
   142.220    -9.921   -14.047    -4.126
   143.214   -10.788   -14.605    -3.818
   144.209   -11.625   -15.164    -3.539
   145.203   -12.439   -15.690    -3.251
   146.197   -13.169   -16.090    -2.921
   147.191   -13.853   -16.490    -2.637
   148.186   -14.447   -16.889    -2.442
   149.182   -15.362   -17.264    -1.902
   150.178   -16.168   -17.522    -1.354
   151.174   -16.896   -17.781    -0.884
   152.170   -17.555   -18.039    -0.484
   153.166   -18.157   -18.293    -0.136
   154.163   -18.650   -18.526     0.124
   155.159   -19.059   -18.760     0.299
   156.155   -19.399   -18.993     0.406
   157.151   -19.680   -19.231     0.449
   158.147   -19.925   -19.495     0.430
   159.143   -20.139   -19.758     0.381
   160.139   -20.313   -20.022     0.291
   161.136   -20.450   -20.290     0.160
   162.132   -20.531   -20.587    -0.056
   163.128   -20.563   -20.884    -0.321
   164.124   -20.545   -21.181    -0.636
   165.120   -20.481   -21.479    -0.998
   166.116   -20.380   -21.785    -1.405
   167.113   -20.243   -22.091    -1.848
   168.109   -20.080   -22.396    -2.317
   169.105   -19.891   -22.699    -2.808
   170.101   -19.673   -22.969    -3.296
   171.097   -19.423   -23.240    -3.817
   172.093   -19.163   -23.511    -4.348
   173.090   -18.893   -23.776    -4.883
   174.086   -18.639   -23.985    -5.346
   175.082   -18.403   -24.194    -5.791
   176.078   -18.163   -24.403    -6.241
   177.074   -17.914   -24.609    -6.694
   178.070   -17.660   -24.771    -7.111
   179.066   -17.396   -24.934    -7.538
   180.063   -17.121   -25.097    -7.976
   181.059   -16.833   -25.259    -8.426
   182.055   -16.528   -25.408    -8.880
   183.051   -16.197   -25.557    -9.360
   184.047   -15.840   -25.706    -9.866
   185.043   -15.444   -25.855   -10.411
   186.040   -15.027   -25.997   -10.971
   187.036   -14.578   -26.140   -11.562
   188.032   -14.126   -26.282   -12.156
   189.028   -13.669   -26.424   -12.755
   190.024   -13.219   -26.560   -13.342
   191.020   -12.779   -26.696   -13.917
   192.016   -12.347   -26.832   -14.485
   193.013   -11.934   -26.968   -15.034
   194.009   -11.538   -27.057   -15.519
   195.005   -11.182   -27.146   -15.965
   196.001   -10.838   -27.236   -16.398
   196.997   -10.519   -27.325   -16.806
   197.993   -10.199   -27.323   -17.124
   198.990    -9.876   -27.320   -17.444
   199.986    -9.543   -27.317   -17.774
   200.982    -9.189   -27.314   -18.125
   201.978    -8.822   -27.237   -18.415
   202.974    -8.420   -27.159   -18.739
   203.970    -8.012   -27.080   -19.069
   204.966    -7.590   -27.002   -19.412
   205.963    -7.172   -26.927   -19.755
   206.959    -6.770   -26.851   -20.082
   207.955    -6.383   -26.776   -20.394
   208.951    -6.046   -26.701   -20.655
   209.947    -5.739   -26.715   -20.976
   210.943    -5.505   -26.733   -21.228
   211.940    -5.300   -26.752   -21.451
   212.936    -5.200   -26.770   -21.570
   213.932    -5.133   -26.892   -21.759
   214.928    -5.194   -27.021   -21.827
   215.924    -5.286   -27.150   -21.863
   216.920    -5.511   -27.279   -21.767
   217.917    -5.757   -27.459   -21.702
   218.913    -6.109   -27.644   -21.534
   219.909    -6.474   -27.828   -21.355
   220.905    -6.908   -28.013   -21.105
   221.901    -7.345   -28.249   -20.905
   222.897    -7.800   -28.491   -20.691
   223.893    -8.245   -28.732   -20.488
   224.890    -8.643   -28.974   -20.331
   225.886    -9.024   -29.294   -20.270
   226.882    -9.306   -29.624   -20.318
   227.878    -9.568   -29.954   -20.386
   228.874    -9.694   -30.284   -20.590
   229.870    -9.809   -30.649   -20.841
   230.867    -9.830   -31.019   -21.189
   231.863    -9.852   -31.390   -21.538
   232.859    -9.856   -31.760   -21.904
   233.855    -9.866   -32.091   -22.224
   234.851    -9.924   -32.415   -22.491
   235.847    -9.995   -32.739   -22.744
   236.843   -10.191   -33.064   -22.872
   237.840   -10.404   -33.328   -22.923
   238.836   -10.809   -33.580   -22.771
   239.832   -11.229   -33.833   -22.604
   240.828   -11.843   -34.086   -22.243
   241.824   -12.465   -34.300   -21.835
   242.820   -13.216   -34.506   -21.290
   243.817   -13.971   -34.712   -20.741
   244.813   -14.809   -34.919   -20.110
   245.809   -15.646   -35.112   -19.466
   246.805   -16.486   -35.303   -18.816
   247.801   -17.321   -35.493   -18.172
   248.797   -17.988   -35.684   -17.696
   249.793   -18.652   -35.877   -17.225
   250.790   -19.126   -36.072   -16.946
   251.786   -19.594   -36.267   -16.673
   252.782   -19.907   -36.461   -16.555
   253.778   -20.212   -36.665   -16.453
   254.774   -20.363   -36.872   -16.509
   255.770   -20.508   -37.078   -16.571
   256.767   -20.541   -37.285   -16.745
   257.763   -20.566   -37.504   -16.937
   258.759   -20.547   -37.726   -17.179
   259.755   -20.523   -37.948   -17.424
   260.751   -20.495   -38.170   -17.675
   261.747   -20.464   -38.402   -17.938
   262.743   -20.464   -38.638   -18.174
   263.740   -20.464   -38.874   -18.410
   264.736   -20.517   -39.110   -18.593
   265.732   -20.574   -39.348   -18.774
   266.728   -20.691   -39.586   -18.895
   267.724   -20.813   -39.824   -19.011
   268.720   -20.984   -40.063   -19.078
   269.717   -21.160   -40.302   -19.142
   270.713   -21.388   -40.541   -19.153
   271.709   -21.622   -40.780   -19.158
   272.705   -21.895   -41.019   -19.124
   273.701   -22.173   -41.264   -19.091
   274.697   -22.476   -41.511   -19.035
   275.694   -22.782   -41.757   -18.975
   276.690   -23.107   -42.004   -18.897
   277.686   -23.437   -42.261   -18.824
   278.682   -23.781   -42.522   -18.741
   279.678   -24.129   -42.782   -18.653
   280.674   -24.516   -43.043   -18.528
   281.670   -24.910   -43.300   -18.390
   282.667   -25.369   -43.555   -18.186
   283.663   -25.843   -43.811   -17.968
   284.659   -26.332   -44.066   -17.734
   285.655   -26.821   -44.302   -17.481
   286.651   -27.296   -44.528   -17.232
   287.647   -27.764   -44.755   -16.991
   288.644   -28.222   -44.981   -16.759
   289.640   -28.676   -45.189   -16.513
   290.636   -29.094   -45.387   -16.293
   291.632   -29.498   -45.585   -16.087
   292.628   -29.861   -45.783   -15.922
   293.624   -30.207   -45.979   -15.772
   294.620   -30.506   -46.173   -15.667
   295.617   -30.788   -46.368   -15.580
   296.613   -31.029   -46.562   -15.533
   297.609   -31.254   -46.768   -15.514
   298.605   -31.486   -46.982   -15.495
   299.601   -31.723   -47.196   -15.473
   300.597   -32.026   -47.409   -15.384
   301.594   -32.361   -47.637   -15.275
   302.590   -32.786   -47.873   -15.087
   303.586   -33.254   -48.109   -14.856
   304.582   -33.794   -48.346   -14.551
   305.578   -34.371   -48.595   -14.223
   306.574   -34.967   -48.853   -13.886
   307.570   -35.572   -49.111   -13.539
   308.567   -36.153   -49.370   -13.217
   309.563   -36.719   -49.639   -12.920
   310.559   -37.238   -49.918   -12.680
   311.555   -37.727   -50.196   -12.470
   312.551   -38.170   -50.475   -12.305
   313.547   -38.583   -50.757   -12.174
   314.544   -38.957   -51.043   -12.086
   315.540   -39.304   -51.329   -12.025
   316.536   -39.626   -51.615   -11.989
   317.532   -39.931   -51.890   -11.959
   318.528   -40.224   -52.155   -11.931
   319.524   -40.510   -52.419   -11.909
   320.520   -40.789   -52.684   -11.895
   321.517   -41.064   -52.933   -11.869
   322.513   -41.330   -53.166   -11.835
   323.509   -41.591   -53.399   -11.808
   324.505   -41.843   -53.632   -11.789
   325.501   -42.087   -53.852   -11.766
   326.497   -42.326   -54.061   -11.735
   327.494   -42.560   -54.269   -11.709
   328.490   -42.784   -54.478   -11.693
   329.486   -42.997   -54.676   -11.679
   330.481   -43.205   -54.864   -11.659
   331.477   -43.399   -55.051   -11.652
   332.472   -43.566   -55.239   -11.673
   333.467   -43.705   -55.418   -11.713
   334.463   -43.804   -55.587   -11.783
   335.458   -43.861   -55.756   -11.895
   336.453   -43.878   -55.925   -12.047
   337.449   -43.849   -56.085   -12.236
   338.444   -43.793   -56.234   -12.441
   339.440   -43.706   -56.383   -12.678
   340.435   -43.612   -56.532   -12.920
   341.430   -43.510   -56.672   -13.162
   342.426   -43.414   -56.800   -13.386
   343.421   -43.327   -56.927   -13.600
   344.416   -43.251   -57.055   -13.803
   345.412   -43.191   -57.174   -13.983
   346.407   -43.139   -57.283   -14.144
   347.403   -43.099   -57.391   -14.292
   348.398   -43.064   -57.499   -14.435
   349.393   -43.037   -57.602   -14.565
   350.389   -43.012   -57.697   -14.685
   351.384   -42.991   -57.792   -14.801
   352.379   -42.963   -57.887   -14.924
   353.375   -42.925   -57.978   -15.053
   354.370   -42.869   -58.065   -15.196
   355.366   -42.784   -58.152   -15.368
   356.361   -42.678   -58.239   -15.561
   357.356   -42.535   -58.323   -15.789
   358.352   -42.374   -58.402   -16.028
   359.347   -42.185   -58.481   -16.296
   360.342   -41.976   -58.559   -16.584
   361.338   -41.732   -58.635   -16.903
   362.333   -41.465   -58.702   -17.237
   363.329   -41.153   -58.770   -17.617
   364.324   -40.815   -58.838   -18.023
   365.319   -40.416   -58.897   -18.481
   366.315   -39.997   -58.938   -18.941
   367.310   -39.527   -58.978   -19.451
   368.305   -39.042   -59.019   -19.977
   369.301   -38.514   -59.053   -20.539
   370.296   -37.986   -59.074   -21.089
   371.292   -37.447   -59.095   -21.648
   372.287   -36.919   -59.116   -22.198
   373.282   -36.412   -59.134   -22.722
   374.278   -35.916   -59.144   -23.227
   375.273   -35.443   -59.153   -23.709
   376.268   -34.980   -59.162   -24.183
   377.264   -34.535   -59.170   -24.635
   378.259   -34.094   -59.175   -25.081
   379.255   -33.657   -59.179   -25.522
   380.250   -33.232   -59.183   -25.952
   381.245   -32.834   -59.189   -26.355
   382.241   -32.444   -59.199   -26.755
   383.236   -32.083   -59.208   -27.125
   384.231   -31.732   -59.218   -27.486
