
dc between calculated and observed response: -429.618 mgal


 distance    obs   calc grav anom  diff
  -117.137   -14.556    -6.440     8.116
  -116.137   -14.744    -6.458     8.286
  -115.138   -14.928    -6.508     8.420
  -114.138   -15.107    -6.563     8.544
  -113.138   -15.281    -6.619     8.663
  -112.139   -15.451    -6.674     8.777
  -111.139   -15.511    -6.762     8.750
  -110.139   -15.559    -6.855     8.704
  -109.140   -15.601    -6.948     8.653
  -108.140   -15.638    -7.041     8.597
  -107.140   -15.594    -7.149     8.445
  -106.141   -15.517    -7.259     8.258
  -105.141   -15.427    -7.370     8.057
  -104.141   -15.323    -7.481     7.842
  -103.142   -15.204    -7.587     7.617
  -102.142   -15.071    -7.693     7.378
  -101.142   -14.925    -7.799     7.126
  -100.143   -14.764    -7.905     6.859
   -99.143   -14.589    -7.999     6.590
   -98.143   -14.399    -8.091     6.309
   -97.144   -14.154    -8.182     5.971
   -96.144   -13.870    -8.274     5.596
   -95.145   -13.575    -8.356     5.219
   -94.145   -13.269    -8.436     4.832
   -93.145   -13.036    -8.516     4.520
   -92.146   -12.819    -8.597     4.222
   -91.146   -12.597    -8.667     3.930
   -90.146   -12.371    -8.736     3.635
   -89.147   -12.140    -8.804     3.336
   -88.147   -11.905    -8.873     3.032
   -87.147   -11.666    -8.934     2.732
   -86.148   -11.422    -8.993     2.429
   -85.148   -11.173    -9.052     2.121
   -84.148   -10.920    -9.111     1.809
   -83.149   -10.681    -9.169     1.512
   -82.149   -10.481    -9.227     1.254
   -81.149   -10.286    -9.285     1.001
   -80.150   -10.094    -9.343     0.751
   -79.150    -9.955    -9.405     0.551
   -78.150    -9.838    -9.467     0.371
   -77.151    -9.732    -9.530     0.203
   -76.151    -9.638    -9.592     0.046
   -75.151    -9.555    -9.656    -0.101
   -74.152    -9.484    -9.721    -0.237
   -73.152    -9.424    -9.785    -0.362
   -72.152    -9.375    -9.850    -0.475
   -71.153    -9.337    -9.915    -0.578
   -70.153    -9.311    -9.981    -0.670
   -69.154    -9.297   -10.047    -0.749
   -68.154    -9.335   -10.112    -0.778
   -67.154    -9.378   -10.178    -0.800
   -66.155    -9.427   -10.244    -0.817
   -65.155    -9.462   -10.309    -0.847
   -64.155    -9.501   -10.375    -0.874
   -63.156    -9.547   -10.442    -0.895
   -62.156    -9.600   -10.509    -0.909
   -61.156    -9.661   -10.577    -0.916
   -60.157    -9.730   -10.644    -0.914
   -59.157    -9.806   -10.713    -0.907
   -58.157    -9.889   -10.782    -0.893
   -57.158    -9.980   -10.851    -0.871
   -56.158   -10.078   -10.920    -0.842
   -55.158   -10.184   -10.991    -0.808
   -54.159   -10.321   -11.064    -0.742
   -53.159   -10.475   -11.136    -0.661
   -52.159   -10.634   -11.209    -0.575
   -51.160   -10.822   -11.287    -0.465
   -50.160   -11.021   -11.367    -0.345
   -49.160   -11.226   -11.446    -0.220
   -48.161   -11.436   -11.526    -0.089
   -47.161   -11.652   -11.611     0.042
   -46.162   -11.874   -11.696     0.177
   -45.162   -12.101   -11.782     0.319
   -44.162   -12.333   -11.868     0.466
   -43.163   -12.572   -11.961     0.610
   -42.163   -12.816   -12.057     0.759
   -41.163   -13.065   -12.152     0.913
   -40.164   -13.320   -12.247     1.073
   -39.164   -13.573   -12.348     1.225
   -38.164   -13.824   -12.451     1.373
   -37.165   -14.044   -12.553     1.490
   -36.165   -14.252   -12.656     1.596
   -35.165   -14.453   -12.764     1.688
   -34.166   -14.646   -12.873     1.773
   -33.166   -14.833   -12.983     1.850
   -32.166   -15.012   -13.092     1.920
   -31.167   -15.184   -13.197     1.987
   -30.167   -15.349   -13.302     2.047
   -29.167   -15.507   -13.407     2.100
   -28.168   -15.658   -13.512     2.146
   -27.168   -15.801   -13.594     2.208
   -26.168   -15.937   -13.670     2.267
   -25.169   -16.067   -13.747     2.320
   -24.169   -16.191   -13.824     2.368
   -23.170   -16.316   -13.856     2.461
   -22.170   -16.439   -13.879     2.560
   -21.170   -16.559   -13.902     2.656
